0.20977,0.20977,0.95498,0.33984
0.95498,0.20977,0.20977,0.33984
0.20977,0.95498,0.20977,0.33984
0.57735,0.57735,0.57735,0.55129
-0.20977,0.20977,0.95498,0.33984
-0.95498,0.20977,0.20977,0.33984
-0.20977,0.95498,0.20977,0.33984
-0.57735,0.57735,0.57735,0.55129
0.20977,-0.20977,0.95498,0.33984
0.95498,-0.20977,0.20977,0.33984
0.20977,-0.95498,0.20977,0.33984
0.57735,-0.57735,0.57735,0.55129
-0.20977,-0.20977,0.95498,0.33984
-0.95498,-0.20977,0.20977,0.33984
-0.20977,-0.95498,0.20977,0.33984
-0.57735,-0.57735,0.57735,0.55129
0.20977,0.20977,-0.95498,0.33984
0.95498,0.20977,-0.20977,0.33984
0.20977,0.95498,-0.20977,0.33984
0.57735,0.57735,-0.57735,0.55129
-0.20977,0.20977,-0.95498,0.33984
-0.95498,0.20977,-0.20977,0.33984
-0.20977,0.95498,-0.20977,0.33984
-0.57735,0.57735,-0.57735,0.55129
0.20977,-0.20977,-0.95498,0.33984
0.95498,-0.20977,-0.20977,0.33984
0.20977,-0.95498,-0.20977,0.33984
0.57735,-0.57735,-0.57735,0.55129
-0.20977,-0.20977,-0.95498,0.33984
-0.95498,-0.20977,-0.20977,0.33984
-0.20977,-0.95498,-0.20977,0.33984
-0.57735,-0.57735,-0.57735,0.55129
